,currentdate,currenttime,open,high,low,close
179,2024-02-01,12:14:00,46112.05,46112.05,46042.05,46098.95
180,2024-02-01,12:15:00,46089.40,46100.15,46061.60,46093.95
181,2024-02-01,12:16:00,46095.00,46141.20,46089.80,46112.10
182,2024-02-01,12:17:00,46112.45,46112.45,46056.35,46068.35
183,2024-02-01,12:18:00,46074.25,46078.65,46014.55,46016.00
184,2024-02-01,12:19:00,46012.80,46049.55,46003.40,46046.80
185,2024-02-01,12:20:00,46049.50,46053.85,46001.45,46015.35
186,2024-02-01,12:21:00,46012.05,46031.65,46003.30,46003.30
187,2024-02-01,12:22:00,46005.70,46031.50,45939.30,45939.30
188,2024-02-01,12:23:00,45932.90,45999.90,45928.50,45998.30
189,2024-02-01,12:24:00,45994.25,46031.25,45990.50,46022.10
190,2024-02-01,12:25:00,46018.25,46033.35,46000.30,46011.80
191,2024-02-01,12:26:00,46009.50,46060.35,46004.30,46044.95
192,2024-02-01,12:27:00,46045.25,46071.65,46037.55,46060.75
193,2024-02-01,12:28:00,46060.80,46061.35,46004.75,46004.75
194,2024-02-01,12:29:00,46006.95,46021.40,45982.70,46010.60
195,2024-02-01,12:30:00,46017.65,46047.55,46013.20,46042.95
196,2024-02-01,12:31:00,46043.15,46043.15,45994.05,45994.90
197,2024-02-01,12:32:00,45993.30,46010.75,45977.35,45991.35
198,2024-02-01,12:33:00,45988.65,46012.70,45986.30,46006.00
199,2024-02-01,12:34:00,46007.55,46035.15,46002.50,46023.00
200,2024-02-01,12:35:00,46023.25,46047.60,46022.75,46022.75
201,2024-02-01,12:36:00,46023.35,46054.35,46010.10,46042.30
202,2024-02-01,12:37:00,46034.75,46094.80,46034.75,46078.00
203,2024-02-01,12:38:00,46076.70,46077.00,46032.00,46046.00
204,2024-02-01,12:39:00,46043.95,46054.80,46029.05,46037.75
205,2024-02-01,12:40:00,46035.20,46064.95,46025.65,46053.80
206,2024-02-01,12:41:00,46054.15,46078.05,46051.25,46070.45
207,2024-02-01,12:42:00,46070.25,46105.10,46060.20,46096.60
208,2024-02-01,12:43:00,46095.10,46097.30,46082.40,46094.90
209,2024-02-01,12:44:00,46099.35,46116.75,46077.65,46090.00
210,2024-02-01,12:45:00,46093.50,46145.70,46092.35,46137.70
211,2024-02-01,12:46:00,46137.60,46170.70,46132.85,46151.85
212,2024-02-01,12:47:00,46153.30,46252.35,46137.70,46239.80
213,2024-02-01,12:48:00,46239.65,46271.10,46206.65,46264.40
214,2024-02-01,12:49:00,46271.55,46276.20,46242.65,46276.20
215,2024-02-01,12:50:00,46274.55,46283.60,46231.40,46231.40
216,2024-02-01,12:51:00,46237.50,46250.80,46230.10,46240.40
217,2024-02-01,12:52:00,46239.40,46271.45,46237.55,46268.75
218,2024-02-01,12:53:00,46267.70,46291.30,46255.25,46262.90
219,2024-02-01,12:54:00,46272.20,46300.90,46270.15,46295.50
220,2024-02-01,12:55:00,46294.25,46306.90,46267.35,46272.75
221,2024-02-01,12:56:00,46271.45,46273.30,46237.85,46250.35
222,2024-02-01,12:57:00,46252.15,46259.50,46178.15,46182.15
223,2024-02-01,12:58:00,46178.50,46219.10,46178.50,46219.10
224,2024-02-01,12:59:00,46212.55,46224.95,46203.30,46203.50
225,2024-02-01,13:00:00,46204.55,46225.75,46111.65,46111.65
226,2024-02-01,13:01:00,46111.75,46166.15,46111.60,46165.75
227,2024-02-01,13:02:00,46161.85,46193.35,46161.85,46189.30
228,2024-02-01,13:03:00,46187.65,46203.90,46174.90,46197.20
229,2024-02-01,13:04:00,46196.05,46210.35,46178.40,46179.40
230,2024-02-01,13:05:00,46181.80,46211.00,46174.15,46202.75
231,2024-02-01,13:06:00,46199.15,46215.65,46184.60,46204.30
232,2024-02-01,13:07:00,46204.50,46208.60,46170.40,46170.40
233,2024-02-01,13:08:00,46169.40,46196.90,46169.40,46183.90
234,2024-02-01,13:09:00,46184.15,46213.15,46184.15,46203.25
235,2024-02-01,13:10:00,46201.65,46244.55,46201.65,46244.10
236,2024-02-01,13:11:00,46244.05,46249.60,46202.55,46204.75
237,2024-02-01,13:12:00,46197.70,46204.60,46172.85,46194.65
238,2024-02-01,13:13:00,46195.80,46213.05,46186.75,46192.05
239,2024-02-01,13:14:00,46193.50,46196.50,46172.85,46176.40
240,2024-02-01,13:15:00,46179.35,46223.25,46162.55,46208.05
241,2024-02-01,13:16:00,46200.60,46204.25,46179.75,46183.10
242,2024-02-01,13:17:00,46182.15,46191.25,46169.80,46191.25
243,2024-02-01,13:18:00,46189.80,46189.85,46156.80,46156.80
244,2024-02-01,13:19:00,46154.80,46168.00,46088.65,46088.65
245,2024-02-01,13:20:00,46092.70,46156.95,46092.70,46147.45
246,2024-02-01,13:21:00,46145.55,46170.30,46143.45,46143.45
247,2024-02-01,13:22:00,46139.50,46178.25,46139.50,46176.75
248,2024-02-01,13:23:00,46173.60,46192.00,46158.50,46163.85
249,2024-02-01,13:24:00,46160.65,46184.70,46157.45,46173.10
250,2024-02-01,13:25:00,46166.95,46190.95,46166.95,46171.85
251,2024-02-01,13:26:00,46168.25,46169.95,46140.60,46144.85
252,2024-02-01,13:27:00,46142.25,46151.50,46102.25,46108.65
253,2024-02-01,13:28:00,46113.55,46122.45,46047.30,46077.05
254,2024-02-01,13:29:00,46072.75,46117.85,46072.75,46113.55
255,2024-02-01,13:30:00,46111.80,46126.85,46081.75,46083.00
256,2024-02-01,13:31:00,46083.65,46085.55,46041.60,46067.20
257,2024-02-01,13:32:00,46064.95,46083.40,46044.65,46048.60
258,2024-02-01,13:33:00,46046.20,46054.45,46006.55,46016.70
259,2024-02-01,13:34:00,46018.20,46071.95,46014.30,46069.00
260,2024-02-01,13:35:00,46065.95,46078.50,46050.20,46078.50
261,2024-02-01,13:36:00,46076.75,46090.80,46057.85,46066.35
262,2024-02-01,13:37:00,46062.30,46069.30,46032.60,46047.00
263,2024-02-01,13:38:00,46039.95,46054.40,46028.60,46038.60
264,2024-02-01,13:39:00,46035.45,46040.50,46014.00,46023.70
265,2024-02-01,13:40:00,46021.50,46040.70,45958.05,45985.40
266,2024-02-01,13:41:00,45981.20,46038.70,45980.40,46031.95
267,2024-02-01,13:42:00,46033.25,46068.45,46033.25,46041.05
268,2024-02-01,13:43:00,46049.30,46050.00,46025.65,46049.50
269,2024-02-01,13:44:00,46045.30,46050.05,46026.80,46033.90
270,2024-02-01,13:45:00,46031.75,46039.35,46026.50,46029.75
271,2024-02-01,13:46:00,46027.35,46042.55,45997.40,46011.45
272,2024-02-01,13:47:00,46012.10,46074.40,46012.10,46061.50
273,2024-02-01,13:48:00,46067.40,46091.80,46061.85,46080.55
274,2024-02-01,13:49:00,46073.25,46085.85,46067.55,46078.00
275,2024-02-01,13:50:00,46082.60,46084.95,46055.70,46055.70
276,2024-02-01,13:51:00,46052.85,46083.90,46052.85,46075.70
277,2024-02-01,13:52:00,46068.75,46124.85,46068.75,46114.00
278,2024-02-01,13:53:00,46111.75,46128.15,46087.15,46119.20
279,2024-02-01,13:54:00,46109.85,46127.45,46098.95,46103.65
280,2024-02-01,13:55:00,46099.15,46108.60,46078.50,46083.80
281,2024-02-01,13:56:00,46081.50,46092.55,46065.50,46070.10
282,2024-02-01,13:57:00,46067.30,46099.45,46067.30,46092.10
283,2024-02-01,13:58:00,46088.15,46100.35,46079.95,46080.35
284,2024-02-01,13:59:00,46079.25,46087.95,46073.05,46076.75
285,2024-02-01,14:00:00,46073.05,46090.75,46050.20,46065.20
286,2024-02-01,14:01:00,46062.00,46081.70,46054.00,46054.00
287,2024-02-01,14:02:00,46052.75,46068.05,46051.25,46053.95
288,2024-02-01,14:03:00,46054.65,46093.00,46052.95,46087.05
289,2024-02-01,14:04:00,46087.80,46108.50,46087.80,46093.95
290,2024-02-01,14:05:00,46083.60,46092.45,46042.85,46045.65
291,2024-02-01,14:06:00,46046.15,46070.85,46044.70,46051.25
292,2024-02-01,14:07:00,46050.65,46056.35,46022.00,46029.55
293,2024-02-01,14:08:00,46030.30,46084.75,46028.30,46081.10
294,2024-02-01,14:09:00,46078.45,46079.30,46055.85,46065.75
295,2024-02-01,14:10:00,46063.15,46090.80,46061.80,46087.20
296,2024-02-01,14:11:00,46087.45,46092.55,46068.90,46070.75
297,2024-02-01,14:12:00,46067.20,46111.95,46063.85,46102.20
298,2024-02-01,14:13:00,46099.15,46124.05,46096.10,46115.65
299,2024-02-01,14:14:00,46119.75,46143.55,46119.75,46123.65
300,2024-02-01,14:15:00,46121.20,46127.90,46063.25,46072.45
301,2024-02-01,14:16:00,46072.00,46079.80,46048.45,46059.65
302,2024-02-01,14:17:00,46065.90,46079.20,46054.00,46062.15
303,2024-02-01,14:18:00,46062.95,46074.55,46053.85,46057.85
304,2024-02-01,14:19:00,46058.20,46077.40,46057.15,46074.65
305,2024-02-01,14:20:00,46079.10,46091.95,46076.00,46088.35
306,2024-02-01,14:21:00,46085.30,46085.30,46063.80,46068.15
307,2024-02-01,14:22:00,46064.15,46084.50,46055.40,46075.80
308,2024-02-01,14:23:00,46074.10,46090.95,46069.85,46088.75
309,2024-02-01,14:24:00,46087.45,46110.25,46085.35,46102.40
310,2024-02-01,14:25:00,46104.55,46113.25,46095.75,46112.55
311,2024-02-01,14:26:00,46101.80,46105.35,46085.85,46092.30
312,2024-02-01,14:27:00,46090.05,46112.45,46090.05,46102.40
313,2024-02-01,14:28:00,46102.10,46140.95,46102.10,46136.55
314,2024-02-01,14:29:00,46133.50,46155.65,46120.10,46155.65
315,2024-02-01,14:30:00,46149.25,46152.45,46113.90,46117.45
316,2024-02-01,14:31:00,46114.30,46131.10,46100.80,46127.55
317,2024-02-01,14:32:00,46125.95,46131.90,46115.00,46130.40
318,2024-02-01,14:33:00,46129.95,46136.85,46114.70,46127.20
319,2024-02-01,14:34:00,46123.65,46134.85,46107.55,46111.50
320,2024-02-01,14:35:00,46109.85,46118.85,46088.70,46090.80
321,2024-02-01,14:36:00,46088.45,46134.80,46085.50,46124.00
322,2024-02-01,14:37:00,46122.65,46158.15,46111.15,46127.70
323,2024-02-01,14:38:00,46115.90,46124.65,46085.00,46089.75
324,2024-02-01,14:39:00,46083.00,46097.30,46061.25,46091.30
325,2024-02-01,14:40:00,46083.90,46110.80,46083.90,46100.75
326,2024-02-01,14:41:00,46098.25,46105.10,46076.10,46088.55
327,2024-02-01,14:42:00,46090.20,46108.20,46085.05,46097.90
328,2024-02-01,14:43:00,46099.80,46114.85,46082.40,46084.55
329,2024-02-01,14:44:00,46084.35,46093.45,46065.40,46071.05
330,2024-02-01,14:45:00,46064.40,46120.80,46064.40,46089.45
331,2024-02-01,14:46:00,46097.60,46127.80,46097.60,46123.30
332,2024-02-01,14:47:00,46118.50,46148.80,46118.50,46134.40
333,2024-02-01,14:48:00,46133.85,46135.25,46124.40,46133.40
334,2024-02-01,14:49:00,46134.50,46140.85,46123.50,46139.85
335,2024-02-01,14:50:00,46135.65,46194.80,46133.50,46194.80
336,2024-02-01,14:51:00,46193.75,46195.75,46165.35,46165.35
337,2024-02-01,14:52:00,46167.85,46171.10,46144.60,46150.65
338,2024-02-01,14:53:00,46152.50,46167.35,46150.00,46162.55
339,2024-02-01,14:54:00,46162.05,46198.80,46161.60,46190.05
340,2024-02-01,14:55:00,46189.85,46202.90,46170.30,46202.90
341,2024-02-01,14:56:00,46195.30,46217.30,46194.25,46203.90
342,2024-02-01,14:57:00,46198.50,46199.85,46169.10,46174.95
343,2024-02-01,14:58:00,46169.20,46184.60,46160.25,46176.20
344,2024-02-01,14:59:00,46173.40,46194.95,46157.10,46179.85
345,2024-02-01,15:00:00,46173.25,46178.40,46133.10,46177.80
346,2024-02-01,15:01:00,46168.75,46169.40,46149.60,46167.50
347,2024-02-01,15:02:00,46163.15,46164.55,46129.90,46134.75
348,2024-02-01,15:03:00,46129.30,46177.45,46121.75,46177.45
349,2024-02-01,15:04:00,46174.25,46195.30,46144.80,46144.80
350,2024-02-01,15:05:00,46140.25,46171.00,46140.25,46147.45
351,2024-02-01,15:06:00,46144.65,46185.10,46144.65,46185.10
352,2024-02-01,15:07:00,46171.60,46186.60,46160.45,46179.95
353,2024-02-01,15:08:00,46176.10,46215.45,46171.05,46196.40
354,2024-02-01,15:09:00,46198.70,46203.30,46161.00,46169.15
355,2024-02-01,15:10:00,46170.55,46198.10,46166.65,46174.45
356,2024-02-01,15:11:00,46168.55,46184.35,46163.35,46176.05
357,2024-02-01,15:12:00,46177.90,46189.55,46167.50,46182.60
358,2024-02-01,15:13:00,46181.25,46185.55,46167.30,46167.30
359,2024-02-01,15:14:00,46163.00,46170.75,46139.50,46154.40
360,2024-02-01,15:15:00,46146.40,46171.65,46143.45,46166.15
361,2024-02-01,15:16:00,46165.50,46191.00,46160.70,46190.85
362,2024-02-01,15:17:00,46192.15,46206.45,46191.95,46202.05
363,2024-02-01,15:18:00,46200.45,46205.10,46187.00,46203.95
364,2024-02-01,15:19:00,46204.80,46210.70,46190.05,46205.50
365,2024-02-01,15:20:00,46205.95,46219.85,46198.10,46207.00
366,2024-02-01,15:21:00,46201.50,46253.55,46201.50,46248.00
367,2024-02-01,15:22:00,46245.55,46245.55,46215.65,46228.00
368,2024-02-01,15:23:00,46229.15,46237.75,46225.95,46226.40
369,2024-02-01,15:24:00,46222.45,46238.05,46214.25,46235.80
370,2024-02-01,15:25:00,46233.90,46241.60,46221.30,46228.75
371,2024-02-01,15:26:00,46227.80,46231.80,46213.45,46224.40
372,2024-02-01,15:27:00,46226.90,46235.20,46216.20,46228.70
373,2024-02-01,15:28:00,46229.10,46230.05,46193.10,46197.95
374,2024-02-01,15:29:00,46204.45,46217.90,46192.90,46206.90
375,2024-02-02,09:15:00,46568.20,46612.75,46501.10,46576.05
376,2024-02-02,09:16:00,46577.35,46645.05,46577.35,46607.55
377,2024-02-02,09:17:00,46612.80,46634.45,46592.50,46599.40
378,2024-02-02,09:18:00,46596.50,46649.45,46596.50,46631.35
379,2024-02-02,09:19:00,46636.05,46650.80,46593.80,46650.80
380,2024-02-02,09:20:00,46663.70,46666.35,46641.95,46653.75
381,2024-02-02,09:21:00,46656.45,46682.30,46647.40,46664.85
382,2024-02-02,09:22:00,46667.75,46690.35,46661.65,46681.80
383,2024-02-02,09:23:00,46679.45,46692.35,46661.65,46684.05
384,2024-02-02,09:24:00,46684.00,46699.60,46665.30,46694.65
385,2024-02-02,09:25:00,46691.05,46695.45,46659.75,46659.75
386,2024-02-02,09:26:00,46656.90,46663.00,46635.55,46648.40
387,2024-02-02,09:27:00,46651.15,46667.75,46636.15,46636.15
388,2024-02-02,09:28:00,46629.55,46662.80,46623.15,46644.55
389,2024-02-02,09:29:00,46644.40,46644.40,46612.65,46621.00
390,2024-02-02,09:30:00,46624.95,46630.00,46584.65,46586.20
391,2024-02-02,09:31:00,46585.70,46609.30,46583.25,46603.55
392,2024-02-02,09:32:00,46607.75,46608.85,46588.50,46607.65
393,2024-02-02,09:33:00,46607.70,46647.85,46592.35,46647.85
394,2024-02-02,09:34:00,46645.85,46650.35,46626.55,46629.95
395,2024-02-02,09:35:00,46638.85,46646.60,46618.80,46621.50
396,2024-02-02,09:36:00,46624.00,46625.75,46534.50,46540.15
397,2024-02-02,09:37:00,46549.00,46632.45,46549.00,46622.10
